#Transcript position	Transcript coverage profile
0.0	7127.113193500338
1.0	9352.74291148988
2.0	10927.334294798475
3.0	10922.369927287937
4.0	11950.86810699935
5.0	13590.802498821395
6.0	15288.598543684093
7.0	16629.308867312353
8.0	18195.421461736463
9.0	20676.866380435175
10.0	23477.512696865582
11.0	25397.22890924651
12.0	26408.552295591984
13.0	26077.20287823457
14.0	26820.741773827787
15.0	27166.183785785994
16.0	27764.334229179334
17.0	27788.814253486336
18.0	28330.752814890457
19.0	27578.854714566987
20.0	27391.357999251424
21.0	27831.983961326823
22.0	27650.97409155245
23.0	29374.44518068671
24.0	28604.49910655966
25.0	27045.902662757606
26.0	27295.39776159283
27.0	27057.08791387022
28.0	28365.74369008911
29.0	28317.06849949681
30.0	29421.285354419368
31.0	29418.291884445684
32.0	30832.53711153169
33.0	30936.852232056677
34.0	30316.86431295044
35.0	30814.44074546673
36.0	32284.929354718068
37.0	32254.362994840085
38.0	31323.807391061287
39.0	32526.305697075935
40.0	33410.482472424694
41.0	33464.25775323016
42.0	33766.505035712245
43.0	33806.01400040278
44.0	32492.746004772718
45.0	32863.25541006529
46.0	32194.69352399654
47.0	30822.24158621138
48.0	33383.10795450923
49.0	35411.25327313523
50.0	34679.18715472535
51.0	32204.457525714424
52.0	31789.911769165505
53.0	32968.758927731986
54.0	33874.53738735372
55.0	33800.91116009009
56.0	32175.601373764202
57.0	30590.733592770757
58.0	30028.657374683607
59.0	29694.950095373573
60.0	29985.73035322157
61.0	30384.591815131287
62.0	31081.42190459173
63.0	31272.03399080196
64.0	30051.522302409423
65.0	26847.3873405762
66.0	25112.648018258747
67.0	25319.208253646022
68.0	26216.106070455666
69.0	25859.149564051153
70.0	26255.992353496116
71.0	25305.416952104883
72.0	27281.812523646826
73.0	31889.72577064298
74.0	33830.06773396616
75.0	32973.76547001187
76.0	33555.145570282424
77.0	31365.421964230965
78.0	30288.35537905871
79.0	28174.479244053186
80.0	26414.14985299375
81.0	25530.796547132555
82.0	25159.755055214617
83.0	24605.40817717351
84.0	22807.23758654921
85.0	21662.627652529838
86.0	20472.86258860342
87.0	20824.295517965984
88.0	20016.72680878467
89.0	18707.139065710464
90.0	16888.235051073803
91.0	16741.72639847936
92.0	15116.346898836537
93.0	14204.650896058238
94.0	12593.341872270761
95.0	10525.705905006274
96.0	7508.468885367673
97.0	4521.5072662885395
98.0	2354.3320742580418
99.0	836.0386936820266
