#Transcript position	Transcript coverage profile
0.0	75274.70439340863
1.0	80918.98582821799
2.0	88049.14223930251
3.0	94358.47610368568
4.0	102860.06906262743
5.0	110655.44860312565
6.0	118642.5435155356
7.0	126071.11711080701
8.0	131531.3859260734
9.0	139236.83095578753
10.0	147003.77536251015
11.0	152155.4547608984
12.0	155903.48263892447
13.0	159471.03739569426
14.0	161447.43742368504
15.0	164143.06205739826
16.0	165518.24968267643
17.0	167415.47916750613
18.0	169211.3000784404
19.0	171374.1538816541
20.0	173353.05852739722
21.0	175637.9316682879
22.0	177027.7265480626
23.0	180513.27451175931
24.0	180868.10701974397
25.0	179011.43092302876
26.0	179882.88411037577
27.0	179365.77206313383
28.0	181614.95881162252
29.0	181352.05322983515
30.0	182925.9440687867
31.0	184171.0513538604
32.0	186010.237374633
33.0	186445.21529797625
34.0	186781.36096380663
35.0	187644.32483886773
36.0	190695.08797732164
37.0	190528.40771341076
38.0	190313.00640068387
39.0	193237.72096738868
40.0	195918.4323685475
41.0	195893.87753159567
42.0	197290.3182332855
43.0	196745.1868319788
44.0	195525.7156375093
45.0	195984.59983341052
46.0	195617.56409905062
47.0	194647.0856032263
48.0	198908.8552267543
49.0	200937.59522922698
50.0	199141.3047031792
51.0	194992.19032609495
52.0	194106.0809050513
53.0	193543.2797732806
54.0	194434.88980210718
55.0	193882.2608920687
56.0	191037.33450157248
57.0	190156.94135906574
58.0	190095.82344101698
59.0	189597.31073395847
60.0	189905.69421179302
61.0	190669.75816470722
62.0	192109.50027491493
63.0	191474.66155663066
64.0	188457.47991865312
65.0	182900.1917089796
66.0	179303.45773096508
67.0	179292.5059033404
68.0	181351.2301324906
69.0	181281.77644633435
70.0	182632.8051091937
71.0	181931.68304978637
72.0	184518.27498050753
73.0	190312.91270690976
74.0	193547.62803806155
75.0	194476.7856418934
76.0	196253.87244791677
77.0	194257.0431216887
78.0	192045.08433763252
79.0	189009.49319574056
80.0	187227.01208111524
81.0	185273.93362683352
82.0	182654.2792187323
83.0	180422.12587582268
84.0	175758.43448986602
85.0	172885.9213661571
86.0	168770.64213502576
87.0	168594.37053233114
88.0	165051.39723589984
89.0	158523.49572557915
90.0	150261.01334249417
91.0	143268.50432444832
92.0	131841.91982202855
93.0	121193.02538882275
94.0	110472.98649769704
95.0	96824.6815344927
96.0	80781.86223498474
97.0	59569.80533690063
98.0	36319.00226260072
99.0	11774.677700394925
