#Transcript position	Transcript coverage profile
0.0	6136.55073968975
1.0	7447.168404484968
2.0	9254.970562527727
3.0	9652.420411854106
4.0	10555.595138547
5.0	11710.054698232036
6.0	13405.675169011465
7.0	14188.671097821925
8.0	14654.200278060862
9.0	16329.139825403021
10.0	18218.14680306619
11.0	19773.33786680015
12.0	20899.497186293724
13.0	21341.947536468746
14.0	22128.138890724833
15.0	22713.75959184924
16.0	22864.067547267736
17.0	23221.22085859249
18.0	23823.532653034297
19.0	23791.35180993343
20.0	23825.316620497433
21.0	24002.373992730878
22.0	24237.942009032307
23.0	26222.8462248573
24.0	25633.48772506292
25.0	23429.746171625815
26.0	22026.120476732896
27.0	21174.33609369186
28.0	21671.46560322
29.0	20985.772054660123
30.0	21342.988539475715
31.0	21050.422353308808
32.0	21962.599217893014
33.0	22467.895897199178
34.0	23015.095782062257
35.0	25074.806704045182
36.0	27514.73299789499
37.0	27857.454104058565
38.0	26921.740210026106
39.0	27225.317072420807
40.0	27430.70780761746
41.0	27253.379106659737
42.0	26987.647903990826
43.0	26675.228778972014
44.0	26160.579556266555
45.0	26359.21145927332
46.0	25127.744775970517
47.0	23342.093773837954
48.0	25864.111064496323
49.0	27792.352384287973
50.0	27391.539096017266
51.0	25166.678824491628
52.0	24345.628373690808
53.0	25111.32453812275
54.0	26118.931466918082
55.0	26261.939736530883
56.0	25363.28498259364
57.0	24074.25285684762
58.0	24468.491169488523
59.0	24497.236431534384
60.0	24287.422729198996
61.0	24392.41209108672
62.0	25180.641367275697
63.0	25012.10416378565
64.0	23477.49578756004
65.0	20571.366390086147
66.0	18694.02121343579
67.0	19533.091542146427
68.0	21269.672479575485
69.0	21534.55458104942
70.0	22839.13097838432
71.0	22850.245502670277
72.0	25090.127574991282
73.0	28629.283185732722
74.0	29366.55869698839
75.0	28728.878163479425
76.0	30402.861789281218
77.0	28609.082057436815
78.0	27318.627744409787
79.0	25980.52200940179
80.0	24385.303011109958
81.0	23119.26088694179
82.0	22742.397450805784
83.0	22393.13118407272
84.0	20278.519468642033
85.0	19150.53404907066
86.0	18656.161084770814
87.0	19298.951689456662
88.0	18921.820802173155
89.0	17717.76656787041
90.0	15616.055011464807
91.0	14652.384569458869
92.0	13292.760185411493
93.0	12456.002314174537
94.0	10694.40658412422
95.0	8759.337544947964
96.0	6602.988592091122
97.0	3929.429259191364
98.0	1757.4780293561514
99.0	582.3875329340058
