#Transcript position	Transcript coverage profile
0.0	55812.023767560684
1.0	59428.10566558067
2.0	64751.79013297427
3.0	70155.6026869627
4.0	76647.60174720518
5.0	82513.06668142113
6.0	88647.83142305126
7.0	93919.61339945329
8.0	97212.93788662946
9.0	102112.23676783023
10.0	107655.52686227187
11.0	111340.04155422859
12.0	114853.22571512822
13.0	118137.94899354687
14.0	119778.63591068877
15.0	121958.7465171003
16.0	122556.37368842783
17.0	124700.45032196942
18.0	126317.97648920077
19.0	128883.62319973359
20.0	130615.51709982748
21.0	132170.2962491073
22.0	133549.8422419088
23.0	136601.24454659282
24.0	137241.79504532865
25.0	135081.47864336346
26.0	134716.72068384747
27.0	134183.01542052705
28.0	136105.9272492629
29.0	135095.14021749262
30.0	135481.91744997926
31.0	136955.23190645207
32.0	138603.2574206829
33.0	139318.1878490954
34.0	140589.06115932637
35.0	141652.6346240998
36.0	144126.9072516873
37.0	144028.09190593928
38.0	143553.68967314204
39.0	144167.8123821753
40.0	145767.7073395011
41.0	145304.98490491635
42.0	145899.2634283787
43.0	145535.2529055885
44.0	145535.30546904754
45.0	146023.6958849684
46.0	145478.9523295955
47.0	144341.66750824364
48.0	147102.46169152725
49.0	148468.22538117695
50.0	147248.9409090872
51.0	144137.45250646546
52.0	143142.92860419696
53.0	142910.56158457836
54.0	143437.1322565583
55.0	143074.09606459443
56.0	141361.14489548557
57.0	141224.76455063806
58.0	141855.0906193282
59.0	141055.65568186383
60.0	140737.72214048236
61.0	140463.92110886745
62.0	141281.67308324462
63.0	141080.21637730545
64.0	139252.74905592724
65.0	135372.15348559667
66.0	133022.8870672557
67.0	132861.5834470274
68.0	134910.06439796352
69.0	135130.29595490056
70.0	136627.24120496793
71.0	136266.69927672454
72.0	138174.25042220796
73.0	141942.05638530565
74.0	143158.94762395954
75.0	143554.12151790253
76.0	145662.12638759703
77.0	144057.5594215902
78.0	142588.2119093249
79.0	141299.74161021647
80.0	140559.46094928175
81.0	139042.35101673042
82.0	136617.37732131546
83.0	134888.90485289757
84.0	131233.71693562518
85.0	128893.74822704477
86.0	126063.0811244668
87.0	126235.93050626697
88.0	124048.80681676534
89.0	120018.5841591793
90.0	113761.07415216672
91.0	108317.71749318068
92.0	99599.70277918219
93.0	91562.26161603932
94.0	83138.83816381943
95.0	72932.92431882898
96.0	61334.0912875645
97.0	45221.343947343616
98.0	27577.244012228082
99.0	9044.600513877813
