Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7179504	(1.0, 26.112498622587122)	(2.0, 8.242241188956413)	(3.0, 4.659330958692329)	(4.0, 3.224021997143728)	(5.0, 2.6127007415942356)	(6.0, 2.043483975803077)	(7.0, 1.766113490069399)	(8.0, 1.497748740385422)	(9.0, 1.2724481682301294)	('>10', 17.055061397662257)	('>50', 5.418211606085429)	('>100', 10.681704493312697)	('>500', 3.9074472321777702)	('>1k', 7.9635249292518555)	('>5k', 2.2665662288398876)	('>10k+', 1.2768962292083625)
SRR7179505	(1.0, 26.033746578796467)	(2.0, 8.26209968883289)	(3.0, 4.79578040519634)	(4.0, 3.27577559914292)	(5.0, 2.5583829489602263)	(6.0, 2.0766812967265955)	(7.0, 1.7047655624947657)	(8.0, 1.4584436034941066)	(9.0, 1.3128390396859444)	('>10', 16.99562714862138)	('>50', 5.575369699400466)	('>100', 10.639122105828063)	('>500', 3.8422645446989008)	('>1k', 8.043796977849096)	('>5k', 2.234101317888595)	('>10k+', 1.1912034823830988)
SRR7179506	(1.0, 26.017027464534593)	(2.0, 8.126545697802609)	(3.0, 4.625983712806231)	(4.0, 3.2275381782738073)	(5.0, 2.440986319225633)	(6.0, 2.00091148486777)	(7.0, 1.698259193076102)	(8.0, 1.4145889890695)	(9.0, 1.3198974450072687)	('>10', 17.0856172035314)	('>50', 5.565885846573497)	('>100', 10.755398987789935)	('>500', 3.96249388911947)	('>1k', 8.027728503916547)	('>5k', 2.456872279777007)	('>10k+', 1.274264804628467)
SRR7179507	(1.0, 26.21047634384658)	(2.0, 8.556676237043213)	(3.0, 4.846759697324093)	(4.0, 3.3526197532722084)	(5.0, 2.5848751827922176)	(6.0, 2.0795333704774146)	(7.0, 1.723770949884799)	(8.0, 1.4405894624846733)	(9.0, 1.3169294954921398)	('>10', 17.023091635308475)	('>50', 5.444388149098386)	('>100', 10.412432141554168)	('>500', 3.784517217195026)	('>1k', 7.693266984993365)	('>5k', 2.2811167444550784)	('>10k+', 1.248956634778032)
SRR7179508	(1.0, 25.947344341147744)	(2.0, 8.32554647516823)	(3.0, 4.740894198924749)	(4.0, 3.309205818044319)	(5.0, 2.5226702193284196)	(6.0, 2.035112311791913)	(7.0, 1.6681256379547074)	(8.0, 1.4927927532694827)	(9.0, 1.2723527506609627)	('>10', 16.769642668003684)	('>50', 5.474579466256813)	('>100', 10.769865189454048)	('>500', 3.9312514941684626)	('>1k', 7.4854572998981626)	('>5k', 2.56413981926113)	('>10k+', 1.691019556667159)
SRR7179509	(1.0, 25.85609229815782)	(2.0, 8.263027272977354)	(3.0, 4.73961242626815)	(4.0, 3.3999742857394337)	(5.0, 2.5863567085355714)	(6.0, 2.0859588491853147)	(7.0, 1.6998263148502206)	(8.0, 1.4539402044157486)	(9.0, 1.2824036328861759)	('>10', 17.004973523905335)	('>50', 5.458450403984158)	('>100', 10.670258690269625)	('>500', 3.963247341742647)	('>1k', 7.439541087673092)	('>5k', 2.4032399440428565)	('>10k+', 1.6930970153664966)
SRR7179510	(1.0, 25.79291294585277)	(2.0, 8.202108441867713)	(3.0, 4.732574346320105)	(4.0, 3.2281762825868774)	(5.0, 2.5560581245230334)	(6.0, 1.9948091801862564)	(7.0, 1.7473301051711)	(8.0, 1.428355501319513)	(9.0, 1.268776037100483)	('>10', 16.909537129493103)	('>50', 5.45730119172445)	('>100', 10.774507554183497)	('>500', 4.019437679760732)	('>1k', 7.595758684934845)	('>5k', 2.606930514998022)	('>10k+', 1.6854262799774933)
SRR7179511	(1.0, 26.235249597278234)	(2.0, 8.533506817562156)	(3.0, 4.879872437638822)	(4.0, 3.407500851150644)	(5.0, 2.6171996827667)	(6.0, 2.1144642909554014)	(7.0, 1.693090608758875)	(8.0, 1.4236205967787252)	(9.0, 1.334308142390155)	('>10', 16.819662757416815)	('>50', 5.342762341982771)	('>100', 10.442919695272805)	('>500', 3.77422928871326)	('>1k', 7.283163355669534)	('>5k', 2.422780481128217)	('>10k+', 1.6756690545367814)
SRR7179520	(1.0, 28.211076514491324)	(2.0, 9.237206984550674)	(3.0, 5.328697789705789)	(4.0, 3.6459284891339685)	(5.0, 2.760915469983242)	(6.0, 2.3149259002033693)	(7.0, 1.9065905432608068)	(8.0, 1.6000370296531081)	(9.0, 1.4274496551270823)	('>10', 18.39569347122913)	('>50', 5.939277332669106)	('>100', 10.165325559434848)	('>500', 3.0404438154463507)	('>1k', 4.775263490125243)	('>5k', 0.7855315730745392)	('>10k+', 0.46563638191136103)
SRR7179521	(1.0, 28.072916045277417)	(2.0, 9.31200835532132)	(3.0, 5.325230990820481)	(4.0, 3.674956432310819)	(5.0, 2.7680578264984264)	(6.0, 2.2033065635105786)	(7.0, 1.8831263450653002)	(8.0, 1.6223433416694455)	(9.0, 1.4380620024677326)	('>10', 18.7011730328145)	('>50', 5.897342576084145)	('>100', 10.174803614470356)	('>500', 3.038245310469755)	('>1k', 4.735142066650013)	('>5k', 0.6887082648322037)	('>10k+', 0.46457723173744925)
