Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR7179522	(1, 31.36571243022533)	(2, 31.308891035655645)	(3, 31.42306668914344)	(4, 31.42897936066231)	(5, 31.413662601460388)	(6, 34.764516801750204)	(7, 34.74425738164471)	(8, 34.69633543596903)	(9, 34.704787630269124)	(10, 34.60537701571705)	(12, 34.69068441460812)	(14, 34.593256781676615)	(16, 34.5497384898035)	(18, 34.50128099718491)	(20, 34.45321994537771)	(22, 34.37361543134098)	(24, 34.2980980249573)	(26, 34.14729515941765)	(28, 34.069599214163105)	(30, 34.00814206305046)	(32, 33.91251592839075)	(34, 33.81722574009283)	(36, 33.72214732124668)	(38, 33.585554391974796)	(40, 33.439509749248174)	(42, 33.284324846174584)	(44, 33.15229092791643)	(46, 32.99343926808247)	(48, 32.854209192916954)	(50, 32.70501471772419)	(52, 32.57017227855066)	(54, 32.41724790843162)	(56, 32.28285245170474)	(58, 32.17202350979155)	(60, 32.09320884487948)	(62, 31.916910057038955)	(64, 31.793583879364427)	(66, 31.65218471272601)	(68, 31.5498351409614)	(70, 31.403420455708265)	(72, 31.260934177373457)	(74, 31.085504044730435)	(76, 28.451496514493318)															
SRR7179523	(1, 31.405125580195957)	(2, 31.331220940775918)	(3, 31.436951179999586)	(4, 31.438824104146896)	(5, 31.42377426662541)	(6, 34.819895436607176)	(7, 34.7579477552085)	(8, 34.70439966218052)	(9, 34.695345631920205)	(10, 34.59449029086883)	(12, 34.67578110674877)	(14, 34.60304633744748)	(16, 34.56816984135463)	(18, 34.499074159717466)	(20, 34.45424768140643)	(22, 34.3345061754861)	(24, 34.265635412214266)	(26, 34.122236037442356)	(28, 34.04249530528462)	(30, 33.982364996840985)	(32, 33.88366870928104)	(34, 33.78581313261198)	(36, 33.72647313969989)	(38, 33.56715735981969)	(40, 33.44623776546047)	(42, 33.27083644589287)	(44, 33.12094517969551)	(46, 32.97614803148361)	(48, 32.822494712945314)	(50, 32.674503390561014)	(52, 32.51044424439641)	(54, 32.389377379290906)	(56, 32.27133512735644)	(58, 32.13176370654922)	(60, 32.02766833154843)	(62, 31.883264577264733)	(64, 31.757121658971812)	(66, 31.629756691980383)	(68, 31.492132702920983)	(70, 31.351659825432026)	(72, 31.19361575306212)	(74, 31.020721059902794)	(76, 28.312505654940804)															
SRR7179524	(1, 31.362131210468245)	(2, 31.30157810979113)	(3, 31.403770574105298)	(4, 31.40142792273301)	(5, 31.40340750322369)	(6, 34.74941242177713)	(7, 34.705998352347734)	(8, 34.66497290340577)	(9, 34.679788578959155)	(10, 34.58546832561258)	(12, 34.67438202931085)	(14, 34.591093405907785)	(16, 34.53345437824254)	(18, 34.48931505379983)	(20, 34.4427123735876)	(22, 34.379861952193394)	(24, 34.31401736653581)	(26, 34.1640788112103)	(28, 34.088880113611815)	(30, 34.014324451575334)	(32, 33.924427980690986)	(34, 33.84002336479593)	(36, 33.746498597055236)	(38, 33.59461256158566)	(40, 33.470819082375584)	(42, 33.34883099050461)	(44, 33.21873232929124)	(46, 33.05897323157417)	(48, 32.926486056283366)	(50, 32.79254152525666)	(52, 32.65690628138873)	(54, 32.545651977902764)	(56, 32.44264207205502)	(58, 32.32026639953503)	(60, 32.23166330659392)	(62, 32.08681760426991)	(64, 31.99505147441326)	(66, 31.844589772113075)	(68, 31.715640693478154)	(70, 31.56239239733263)	(72, 31.446722292133586)	(74, 31.299268161755386)	(76, 28.593601737632554)															
SRR7179525	(1, 31.388397151760028)	(2, 31.31697170602619)	(3, 31.40967567853126)	(4, 31.414242812069105)	(5, 31.407579889929895)	(6, 34.77114850712398)	(7, 34.71562734677726)	(8, 34.67025563597205)	(9, 34.685788395525165)	(10, 34.60587593800916)	(12, 34.689125650440104)	(14, 34.60515832887939)	(16, 34.56228988313994)	(18, 34.52526706748081)	(20, 34.457156133119966)	(22, 34.411468531790646)	(24, 34.34566739844253)	(26, 34.2088909039795)	(28, 34.130229053377796)	(30, 34.07436987073751)	(32, 33.98615735191471)	(34, 33.91193531419987)	(36, 33.82978240188213)	(38, 33.68955468288809)	(40, 33.57982198716084)	(42, 33.44563037541095)	(44, 33.31962769829454)	(46, 33.17142077467095)	(48, 33.029787526376396)	(50, 32.893852435005655)	(52, 32.771805406830865)	(54, 32.6820793628699)	(56, 32.57200929260819)	(58, 32.44311854553034)	(60, 32.35152684738378)	(62, 32.22242172802841)	(64, 32.12774374563392)	(66, 32.00663654394894)	(68, 31.87255976549393)	(70, 31.73710944984092)	(72, 31.613176327082073)	(74, 31.459593938529387)	(76, 28.795187999125382)															
SRR7179526	(1, 31.40214633867182)	(2, 31.346629752540316)	(3, 31.44982964843525)	(4, 31.457193740087412)	(5, 31.439952125908533)	(6, 34.79905340237983)	(7, 34.78041422835851)	(8, 34.731890096321145)	(9, 34.7456504749109)	(10, 34.65293778839303)	(12, 34.735010270517776)	(14, 34.63693235340767)	(16, 34.594249208276466)	(18, 34.54857133117096)	(20, 34.49967039328755)	(22, 34.425422459627285)	(24, 34.350850669402824)	(26, 34.20763843533263)	(28, 34.130595792712356)	(30, 34.070288066683105)	(32, 33.97945417265327)	(34, 33.88469279045727)	(36, 33.794394413210725)	(38, 33.659337189994275)	(40, 33.52810669044125)	(42, 33.378696207277514)	(44, 33.24836738573411)	(46, 33.09535385282865)	(48, 32.96171441765476)	(50, 32.812482976309596)	(52, 32.680227547057264)	(54, 32.53194909010407)	(56, 32.39874700846826)	(58, 32.28710500503172)	(60, 32.208959839937776)	(62, 32.040796069691524)	(64, 31.921957516124888)	(66, 31.776802998346355)	(68, 31.66589153755473)	(70, 31.52655558794958)	(72, 31.388530945963048)	(74, 31.21714829064179)	(76, 28.56905322234543)															
SRR7179527	(1, 31.439617174767772)	(2, 31.366590499844175)	(3, 31.461902205407714)	(4, 31.465975186438573)	(5, 31.44729685675711)	(6, 34.85247982214668)	(7, 34.79043191104929)	(8, 34.7361635795769)	(9, 34.73252865856129)	(10, 34.6392366686366)	(12, 34.71407393695967)	(14, 34.64141466941433)	(16, 34.60862398796418)	(18, 34.54203852399945)	(20, 34.49637283437539)	(22, 34.37917585953818)	(24, 34.311573824386926)	(26, 34.17320876603803)	(28, 34.095139242066665)	(30, 34.037932608180355)	(32, 33.94121953421053)	(34, 33.845880701860835)	(36, 33.789694602268355)	(38, 33.630134060303874)	(40, 33.52869586916444)	(42, 33.358403745109065)	(44, 33.205890154555036)	(46, 33.06844962764215)	(48, 32.91746029598535)	(50, 32.767878550713526)	(52, 32.60475035806333)	(54, 32.490021681613385)	(56, 32.37041288266791)	(58, 32.23603720428472)	(60, 32.13233959784437)	(62, 31.996351891403208)	(64, 31.870215923068162)	(66, 31.74543721648836)	(68, 31.59606049368974)	(70, 31.456582143837426)	(72, 31.30513350171073)	(74, 31.13458609888185)	(76, 28.414706312225483)															
SRR7179536	(1, 33.043220489734054)	(2, 33.04051202912284)	(3, 33.0786319672567)	(4, 33.08467324985817)	(5, 33.086103837330164)	(6, 36.820187518816724)	(7, 37.10393438333363)	(8, 37.20348993565876)	(9, 37.23403525053835)	(10, 37.123385529857906)	(11, 37.11348648887485)	(12, 37.1029309904894)	(13, 37.16988673814503)	(14, 37.2174519353443)	(15, 37.240248948845675)	(16, 37.27282335213316)	(17, 37.27060027214674)	(18, 37.27185408283222)	(19, 37.26781989195997)	(20, 37.26738493154825)	(21, 37.261916059909005)	(22, 37.26153006601682)	(23, 37.24163998055111)	(24, 37.2544196300656)	(25, 37.25518913126891)	(26, 37.206428730187206)	(27, 37.22514920442795)	(28, 37.21172866733409)	(29, 37.20367034667913)	(30, 37.1994499682674)	(31, 37.179858004744396)	(32, 37.17878866011918)	(33, 37.18679196994986)	(34, 37.17763389187045)	(35, 37.16822463084791)	(36, 37.172699788181546)	(37, 37.14409779379051)	(38, 37.14662909506429)	(39, 37.12684268090164)	(40, 37.12831408655827)	(41, 37.12533416780444)	(42, 37.12091826761044)	(43, 37.11745629642495)	(44, 37.10694219005054)	(45, 37.09494478068546)	(46, 37.09342762193715)	(47, 37.08088737279703)	(48, 37.062619073760025)	(49, 37.059778900862305)	(50, 37.04733731160801)	(51, 37.03023430097042)	(52, 37.00516210404544)	(53, 36.99653829660016)	(54, 36.99810220307257)	(55, 36.97118997441117)	(56, 36.94153764817632)	(57, 36.90394677798389)	(58, 36.6432970381759)
SRR7179537	(1, 33.030951245235045)	(2, 33.01377205224428)	(3, 33.047202303668676)	(4, 33.050314780381555)	(5, 33.06113820850679)	(6, 36.805436395739015)	(7, 37.09815205226425)	(8, 37.18951086952809)	(9, 37.22270409172718)	(10, 37.10500042592215)	(11, 37.102028784665166)	(12, 37.09702145360163)	(13, 37.1630023654576)	(14, 37.20267374273745)	(15, 37.22278215555917)	(16, 37.2474105851193)	(17, 37.243702303484746)	(18, 37.24649272419336)	(19, 37.24069657006283)	(20, 37.2435811482073)	(21, 37.232205886827465)	(22, 37.24133649116555)	(23, 37.2208209298724)	(24, 37.228200392457964)	(25, 37.232424418261544)	(26, 37.18760453288374)	(27, 37.19001643202937)	(28, 37.18775769144202)	(29, 37.175309531896055)	(30, 37.16888103707866)	(31, 37.15240105534103)	(32, 37.15122450122834)	(33, 37.15948576192954)	(34, 37.150799748324935)	(35, 37.143886382782675)	(36, 37.14087394916649)	(37, 37.11906359503837)	(38, 37.11545070577744)	(39, 37.10980584466091)	(40, 37.10560635996103)	(41, 37.09925483855186)	(42, 37.09610564214688)	(43, 37.10083548006682)	(44, 37.086172669839286)	(45, 37.076653204618836)	(46, 37.07277401548002)	(47, 37.05893551307381)	(48, 37.03746257284622)	(49, 37.0309670760862)	(50, 37.018580952456524)	(51, 36.994054155647035)	(52, 36.9626874458171)	(53, 36.95665979340595)	(54, 36.959762285515616)	(55, 36.94044888358736)	(56, 36.91084575685105)	(57, 36.87654135341507)	(58, 36.62207881383334)
SRR7179540	(1, 31.91890050579814)	(2, 32.05677196257824)	(3, 31.07245229309325)	(4, 30.086026717399257)	(5, 30.697426796214852)	(6, 34.35953232843264)	(7, 35.40281167034573)	(8, 35.72129063977688)	(9, 35.71691713442387)	(10, 35.77069132718826)	(11, 35.71860848746969)	(12, 35.72028477543937)	(13, 36.00413999667292)	(14, 35.853388829226624)	(15, 35.837915886269826)	(16, 35.895594430727115)	(17, 35.960662214691595)	(18, 36.0804481585483)	(19, 35.75165674221252)	(20, 35.964479699435365)	(21, 35.773238573542045)	(22, 35.947222391153296)	(23, 35.822463904022094)	(24, 35.682450251678326)	(25, 35.72934831920915)	(26, 35.81293603407515)	(27, 35.811269470431775)	(28, 35.81652242388031)	(29, 35.86054923494383)	(30, 35.64976795621129)	(31, 35.479013530491436)	(32, 35.548748339096164)	(33, 35.27075917551918)	(34, 35.272779033231615)	(35, 35.3915435344078)	(36, 35.64254077031313)	(37, 35.67870737096721)	(38, 35.441128012973614)	(39, 35.595700063822655)	(40, 35.344224477069844)	(41, 35.250067168599124)	(42, 35.23497225362552)	(43, 35.363531440286756)	(44, 35.25092605827582)	(45, 35.26544680796284)	(46, 35.424533415448636)	(47, 35.50365297577702)	(48, 35.49467416265644)	(49, 35.4812825168432)	(50, 35.51056669434054)	(51, 35.55662443303432)	(52, 35.34069229934345)	(53, 35.23682893409065)	(54, 35.25600371028133)	(55, 35.167560435370156)	(56, 35.02400569942626)	(57, 35.032935766066615)	(58, 34.449738550181465)
SRR7179541	(1, 31.773739202772617)	(2, 31.901367197746332)	(3, 30.963572884043213)	(4, 29.978805624509217)	(5, 30.581090060929963)	(6, 34.25050187902775)	(7, 35.2204748656618)	(8, 35.54265826010274)	(9, 35.54750954919155)	(10, 35.536922041790774)	(11, 35.55745103411062)	(12, 35.51395889038685)	(13, 35.79718370671012)	(14, 35.68098672064899)	(15, 35.75638099171696)	(16, 35.74493986528291)	(17, 35.85305245206252)	(18, 35.9454343331221)	(19, 35.66379230518775)	(20, 35.84559883652667)	(21, 35.640084454240906)	(22, 35.807893623629866)	(23, 35.67558696197061)	(24, 35.51704415153132)	(25, 35.60667639836221)	(26, 35.73345447989694)	(27, 35.65628298083001)	(28, 35.68590242046088)	(29, 35.71584828547565)	(30, 35.53626519397745)	(31, 35.34408224920413)	(32, 35.495235147020495)	(33, 35.19704639154225)	(34, 35.12278753121651)	(35, 35.250507874596025)	(36, 35.520119794785025)	(37, 35.51588992136646)	(38, 35.28577314101993)	(39, 35.477824849465435)	(40, 35.25776609289633)	(41, 35.12777888344199)	(42, 35.105884358811444)	(43, 35.24847924908838)	(44, 35.14516436600613)	(45, 35.18199622445742)	(46, 35.296215339161805)	(47, 35.370435186657865)	(48, 35.40420360117147)	(49, 35.357832585413945)	(50, 35.40490537411097)	(51, 35.43215985350828)	(52, 35.21072382330727)	(53, 35.11616717476332)	(54, 35.09248422207918)	(55, 34.98398154863863)	(56, 34.84779812755072)	(57, 34.874922453153374)	(58, 34.308691908564256)
