Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR7179522	(1, 0.03076041678654106)	(2, 0.0003343523563754463)	(3, 0.0005598458060240031)	(4, 1.555127238955564e-05)	(5, 0.0)	(6, 0.0015629028751503419)	(7, 0.0)	(8, 0.0001943909048694455)	(9, 0.0)	(10, 0.0005676214422187809)	(12, 0.000520967625050114)	(14, 0.0002293812677459457)	(16, 0.00042765999071278014)	(18, 3.110254477911128e-05)	(20, 0.0002216056315511679)	(22, 0.00048208944407622485)	(24, 1.555127238955564e-05)	(26, 0.000610387441290059)	(28, 0.000610387441290059)	(30, 0.0012790921540409516)	(32, 0.001815611051480621)	(34, 0.008681497811469437)	(36, 0.006554861312197702)	(38, 0.01391450097055491)	(40, 0.008665946539079882)	(42, 0.0143032827802938)	(44, 0.02400338893327913)	(46, 0.03150299004314234)	(48, 0.025045324183379358)	(50, 0.030200570980517052)	(52, 0.02297700495556846)	(54, 0.039605202958100834)	(56, 0.039508007505666104)	(58, 0.03843496971078677)	(60, 0.03768462081799071)	(62, 0.06058775722970878)	(64, 0.03790622644954187)	(66, 0.05422339900428313)	(68, 0.05283544794351529)	(70, 0.042027313632774115)	(72, 0.034986475058402806)	(74, 0.034601581066761304)	(76, 0.029267494637143714)															
SRR7179523	(1, 0.032974071277490566)	(2, 0.00013180324752347513)	(3, 0.00026360649504695026)	(4, 0.0)	(5, 0.0)	(6, 0.00011629698310894863)	(7, 7.753132207263243e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00034501438322321427)	(12, 0.00023259396621789726)	(14, 0.0006047443121665329)	(16, 0.0003682737798450041)	(18, 0.00031787842049779295)	(20, 3.876566103631621e-05)	(22, 0.0006086208782701645)	(24, 0.0015118607804163323)	(26, 0.004492940114109049)	(28, 0.001616528065214386)	(30, 0.006175369803085172)	(32, 0.002097222262064707)	(34, 0.021410274590357443)	(36, 0.013571857928814306)	(38, 0.02676381237947271)	(40, 0.02557370658565781)	(42, 0.02503098733114938)	(44, 0.03408276918312922)	(46, 0.04149476357327288)	(48, 0.0376724693950921)	(50, 0.040773722277997394)	(52, 0.038447782615818424)	(54, 0.05693512636403762)	(56, 0.045208513900551965)	(58, 0.053857132877754114)	(60, 0.059451017765294545)	(62, 0.05811747902564527)	(64, 0.06534339824281461)	(66, 0.06402148920147623)	(68, 0.06614197086016273)	(70, 0.067475509599812)	(72, 0.06413003305237791)	(74, 0.04557291111429334)	(76, 0.046805659135248194)															
SRR7179524	(1, 0.015847994324233082)	(2, 0.0018940977997180986)	(3, 0.0010570058882321974)	(4, 2.8375996999522076e-05)	(5, 0.0)	(6, 0.0028801636954514905)	(7, 0.0)	(8, 7.09399924988052e-05)	(9, 0.0)	(10, 0.0003795289598686078)	(12, 0.0007164939242379325)	(14, 0.0003546999624940259)	(16, 0.0005568789411156208)	(18, 0.0010357238904825559)	(20, 0.00023410197524605713)	(22, 0.00044337495311753245)	(24, 0.00021281997749641557)	(26, 0.005692934398029117)	(28, 0.00889232805972523)	(30, 0.017522178147204883)	(32, 0.024492032410212493)	(34, 0.04314215643814838)	(36, 0.04033647973482063)	(38, 0.05459541822708047)	(40, 0.04492984424911827)	(42, 0.055336741148693)	(44, 0.0699539266030718)	(46, 0.07480976908961502)	(48, 0.06628278199125863)	(50, 0.07528861403898195)	(52, 0.06343808829205655)	(54, 0.08362051615796662)	(56, 0.07687412287133025)	(58, 0.07711886584545112)	(60, 0.07776796677681519)	(62, 0.10053615736930673)	(64, 0.07120247047105077)	(66, 0.09342087612167656)	(68, 0.09824124861197037)	(70, 0.08210949431774207)	(72, 0.07313558526664322)	(74, 0.07508643506036036)	(76, 0.0761469879482175)															
SRR7179525	(1, 0.03318685820567561)	(2, 0.0002806956126699954)	(3, 7.197323401794754e-05)	(4, 0.0)	(5, 0.0)	(6, 0.00041744475730409573)	(7, 5.038126381256327e-05)	(8, 0.0)	(9, 0.0)	(10, 0.000248307657361919)	(12, 0.0002734982892682006)	(14, 0.0007917055741974229)	(16, 0.0004390367275094799)	(18, 0.0004102474339023009)	(20, 6.837457231705015e-05)	(22, 0.001212748993202416)	(24, 0.0025910364246461114)	(26, 0.013854847548454901)	(28, 0.009662406666909457)	(30, 0.012289429708564541)	(32, 0.011209831198295328)	(34, 0.034082924969199055)	(36, 0.03068938698525283)	(38, 0.04757790634756422)	(40, 0.04999260834886636)	(42, 0.05107580552083646)	(44, 0.05966581100087851)	(46, 0.06930302703588168)	(48, 0.06608222481357853)	(50, 0.07153059862873716)	(52, 0.06793553558954067)	(54, 0.08002703890455587)	(56, 0.06293699448699422)	(58, 0.07222514033701036)	(60, 0.08112103206162867)	(62, 0.079566410206841)	(64, 0.0892935927843666)	(66, 0.08745827531690895)	(68, 0.09241363247904463)	(70, 0.09319094340643846)	(72, 0.09194220779622708)	(74, 0.07085764889066935)	(76, 0.07020988978450782)															
SRR7179526	(1, 0.030824901893229468)	(2, 0.0004723336066251018)	(3, 0.0006845414588769591)	(4, 2.0536243766308772e-05)	(5, 0.0)	(6, 0.0014649187219966924)	(7, 0.0)	(8, 0.0002122078522518573)	(9, 0.0)	(10, 0.0005373650452184129)	(12, 0.00043126111909248425)	(14, 0.00027039387625639883)	(16, 0.00045522007015317775)	(18, 6.845414588769591e-06)	(20, 0.00019851702307431814)	(22, 0.00045522007015317775)	(24, 3.080436564946316e-05)	(26, 0.0005613239962791064)	(28, 0.0006913868734657287)	(30, 0.0010918436269087496)	(32, 0.0018140348660239415)	(34, 0.008810048575746464)	(36, 0.006835146466886436)	(38, 0.01411866758933728)	(40, 0.008919575209166777)	(42, 0.014392484172888064)	(44, 0.02414035454729596)	(46, 0.031985199666025914)	(48, 0.025605273269292655)	(50, 0.03083174730781824)	(52, 0.023390781649825693)	(54, 0.04006621158806842)	(56, 0.03962125963979839)	(58, 0.03872793303596396)	(60, 0.037543676312106825)	(62, 0.06132806930078677)	(64, 0.038152918210507314)	(66, 0.05436970537130248)	(68, 0.053103303672380094)	(70, 0.04188024645409236)	(72, 0.035329184692639855)	(74, 0.034764437989066366)	(76, 0.0302772687261279)															
SRR7179527	(1, 0.033788906183069185)	(2, 0.00010249415424591258)	(3, 0.00023232008295740185)	(4, 0.0)	(5, 0.0)	(6, 0.00011616004147870093)	(7, 0.00010932709786230676)	(8, 0.0)	(9, 0.0)	(10, 0.0003689789552852853)	(12, 0.00023915302657379604)	(14, 0.0005876331510098988)	(16, 0.0004031436733672561)	(18, 0.000317731878162329)	(20, 4.441413350656212e-05)	(22, 0.0006627955307902348)	(24, 0.0016023252780444335)	(26, 0.004690815792654599)	(28, 0.0017184853195231344)	(30, 0.006586957646203982)	(32, 0.0020806313311920255)	(34, 0.02183125485437938)	(36, 0.013741049612568682)	(38, 0.026686061293827442)	(40, 0.025968602214106053)	(42, 0.025896856306133913)	(44, 0.0343492075596135)	(46, 0.04135639123822573)	(48, 0.037936502958220444)	(50, 0.041171901760583086)	(52, 0.038899948008132026)	(54, 0.056853507360207715)	(56, 0.045678228075595045)	(58, 0.054079332251951676)	(60, 0.059972746121091644)	(62, 0.058500246771758704)	(64, 0.06580124702587588)	(66, 0.06390168870051831)	(68, 0.06651187316198087)	(70, 0.06739332288849573)	(72, 0.06421258763506424)	(74, 0.045715809265485206)	(76, 0.04672366844890335)															
SRR7179536	(1, 0.07245132135005286)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0015416802631644385)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.02371050687616176)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 1.912754668938509e-05)	(18, 0.0)	(19, 0.0)	(20, 3.0604074703016146e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0008798671477117142)	(27, 0.0)	(28, 0.00148812313243416)	(29, 0.0006579876061148471)	(30, 0.00035194685908468567)	(31, 0.0)	(32, 5.738264006815527e-05)	(33, 0.0)	(34, 4.20806027166472e-05)	(35, 0.0)	(36, 7.268467741966334e-05)	(37, 4.590611205452422e-05)	(38, 9.946324278480248e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 4.973162139240124e-05)	(45, 0.0011897334040797526)	(46, 0.0005508733446542907)	(47, 0.0021422852292111304)	(48, 0.001908929159600632)	(49, 7.651018675754037e-06)	(50, 3.0604074703016146e-05)	(51, 0.0013771833616357265)	(52, 0.001036713030564672)	(53, 0.0026281249151215115)	(54, 8.033569609541739e-05)	(55, 0.000424631536504349)	(56, 0.001017585483875287)	(57, 0.0020313454584126966)	(58, 0.003817858319201264)
SRR7179537	(1, 0.07214664081950681)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0015068868275179238)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.024028735898258786)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 1.839269013535391e-05)	(18, 0.0)	(19, 0.0)	(20, 4.335419817619135e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0008920454715646645)	(27, 0.0)	(28, 0.0014267472490710246)	(29, 0.00074621771406293)	(30, 0.0003717950934503683)	(31, 0.0)	(32, 8.276710560909259e-05)	(33, 0.0)	(34, 7.094323337922223e-05)	(35, 0.0)	(36, 7.619828770360904e-05)	(37, 6.174688831154525e-05)	(38, 0.00011166990439322015)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 5.5178070406061724e-05)	(45, 0.0011561119513651028)	(46, 0.00053076048676307)	(47, 0.002184788835363825)	(48, 0.0018668580487384216)	(49, 9.196345067676955e-06)	(50, 1.3137635810967077e-05)	(51, 0.001451708757111862)	(52, 0.0010365594654853025)	(53, 0.002572349091787354)	(54, 0.00011166990439322015)	(55, 0.00046638607128933127)	(56, 0.0011495431334596193)	(57, 0.0021992402347558886)	(58, 0.004022744085318119)
SRR7179540	(1, 3.606740142806934e-05)	(2, 0.0)	(3, 0.0027383480930388026)	(4, 0.0005673679686184754)	(5, 0.003454147290611256)	(6, 0.0013386554760802657)	(7, 0.0012457125570156256)	(8, 0.00229721602941857)	(9, 0.006920779450947613)	(10, 0.001926831560907243)	(11, 5.548830988933744e-06)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0005465598524099738)	(17, 0.0)	(18, 0.0007990316624064593)	(19, 1.387207747233436e-06)	(20, 2.774415494466872e-06)	(21, 0.6193313836220926)	(22, 8.323246483400616e-06)	(23, 8.323246483400616e-06)	(24, 0.0003357042748304915)	(25, 0.0)	(26, 0.00020114512334884824)	(27, 0.00018311142263481358)	(28, 0.0011402847682258845)	(29, 0.0019240571454127756)	(30, 0.0028992641917178815)	(31, 0.000575691215101876)	(32, 0.0)	(33, 0.002270859082221135)	(34, 0.18296992744459575)	(35, 1.6646492966801233e-05)	(36, 0.0)	(37, 0.0)	(38, 0.9310411260486875)	(39, 4.161623241700308e-06)	(40, 0.00023582531702968416)	(41, 0.003254389375009641)	(42, 0.003762107410497079)	(43, 0.0027591562092473044)	(44, 0.00782385169439658)	(45, 0.1066832118009874)	(46, 0.0003870309614781287)	(47, 0.00017894979939311325)	(48, 0.00017478817615141295)	(49, 0.0013206217753662312)	(50, 0.0002732799262049869)	(51, 0.000553495891146141)	(52, 0.21729638314988714)	(53, 0.3295783654187087)	(54, 0.010828543674904203)	(55, 0.0050036583442710034)	(56, 0.002104394152553123)	(57, 0.004637435499001377)	(58, 7.768363384507242e-05)
SRR7179541	(1, 2.914512356283314e-05)	(2, 0.0)	(3, 0.002698005724102268)	(4, 0.0004246860862012829)	(5, 0.0036473040344345473)	(6, 0.001394802341935586)	(7, 0.001157477764352516)	(8, 0.0022608288706597707)	(9, 0.0036389768562737376)	(10, 0.0018486335516997021)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0005495937586134249)	(17, 0.0)	(18, 0.0009451347212518746)	(19, 0.0)	(20, 0.0)	(21, 0.6245300348825493)	(22, 4.163589080404734e-06)	(23, 4.163589080404734e-06)	(24, 0.00035806866091480716)	(25, 0.0)	(26, 0.0002414881666634746)	(27, 0.00022483381034185568)	(28, 0.0012574039022822297)	(29, 0.0020734673620415576)	(30, 0.0030310928505346466)	(31, 0.0006287019511411148)	(32, 0.0)	(33, 0.002298301172383413)	(34, 0.1894349759802546)	(35, 1.6654356321618936e-05)	(36, 0.0)	(37, 0.0)	(38, 0.9666396588521651)	(39, 0.0)	(40, 0.00018319791953780833)	(41, 0.003164327701107598)	(42, 0.0036098317327109045)	(43, 0.0028062590401927907)	(44, 0.007419515741281236)	(45, 0.058977239323933055)	(46, 0.00046215838792492553)	(47, 0.0002081794540202367)	(48, 0.00019568868677902253)	(49, 0.0013989659310159907)	(50, 0.00029977841378914087)	(51, 0.000612047594819496)	(52, 0.21830530266378104)	(53, 0.3320337383950363)	(54, 0.010433954235494263)	(55, 0.004971325362003252)	(56, 0.0019527232787098204)	(57, 0.004471694672354684)	(58, 5.412665804526155e-05)
