Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR7179522	(10.0, 1.0)	(11.0, 3.0)	(12.0, 9.0)	(13.0, 16.0)	(14.0, 59.0)	(15.0, 110.0)	(16.0, 289.0)	(17.0, 500.0)	(18.0, 1224.0)	(19.0, 2254.0)	(20.0, 4440.0)	(21.0, 9818.0)	(22.0, 20822.0)	(23.0, 40418.0)	(24.0, 73370.0)	(25.0, 125539.0)	(26.0, 192775.0)	(27.0, 274935.0)	(28.0, 382730.0)	(29.0, 518462.0)	(30.0, 689200.0)	(31.0, 929965.0)	(32.0, 1311951.0)	(33.0, 1991823.0)	(34.0, 3313393.0)	(35.0, 2976578.0)										
SRR7179523	(10.0, 1.0)	(11.0, 7.0)	(12.0, 48.0)	(13.0, 177.0)	(14.0, 288.0)	(15.0, 330.0)	(16.0, 478.0)	(17.0, 855.0)	(18.0, 1244.0)	(19.0, 2126.0)	(20.0, 4510.0)	(21.0, 10009.0)	(22.0, 21350.0)	(23.0, 41825.0)	(24.0, 74997.0)	(25.0, 129976.0)	(26.0, 194427.0)	(27.0, 276566.0)	(28.0, 385763.0)	(29.0, 519332.0)	(30.0, 692309.0)	(31.0, 935679.0)	(32.0, 1325260.0)	(33.0, 2029972.0)	(34.0, 3378073.0)	(35.0, 2872411.0)										
SRR7179524	(8.0, 1.0)	(9.0, 2.0)	(10.0, 33.0)	(11.0, 155.0)	(12.0, 608.0)	(13.0, 853.0)	(14.0, 1104.0)	(15.0, 1125.0)	(16.0, 1297.0)	(17.0, 656.0)	(18.0, 982.0)	(19.0, 1715.0)	(20.0, 3483.0)	(21.0, 8727.0)	(22.0, 19887.0)	(23.0, 41305.0)	(24.0, 76422.0)	(25.0, 132579.0)	(26.0, 210179.0)	(27.0, 307928.0)	(28.0, 426434.0)	(29.0, 566431.0)	(30.0, 740912.0)	(31.0, 979940.0)	(32.0, 1361209.0)	(33.0, 2058405.0)	(34.0, 3520408.0)	(35.0, 3633641.0)								
SRR7179525	(9.0, 8.0)	(10.0, 26.0)	(11.0, 121.0)	(12.0, 532.0)	(13.0, 727.0)	(14.0, 631.0)	(15.0, 676.0)	(16.0, 1147.0)	(17.0, 1301.0)	(18.0, 1264.0)	(19.0, 1698.0)	(20.0, 3456.0)	(21.0, 7859.0)	(22.0, 18032.0)	(23.0, 37359.0)	(24.0, 69842.0)	(25.0, 120168.0)	(26.0, 193178.0)	(27.0, 287769.0)	(28.0, 401404.0)	(29.0, 536217.0)	(30.0, 702144.0)	(31.0, 934277.0)	(32.0, 1308293.0)	(33.0, 2006159.0)	(34.0, 3493064.0)	(35.0, 3766702.0)									
SRR7179526	(12.0, 8.0)	(13.0, 24.0)	(14.0, 58.0)	(15.0, 128.0)	(16.0, 306.0)	(17.0, 472.0)	(18.0, 892.0)	(19.0, 1595.0)	(20.0, 3253.0)	(21.0, 8351.0)	(22.0, 19115.0)	(23.0, 39580.0)	(24.0, 75113.0)	(25.0, 128711.0)	(26.0, 205645.0)	(27.0, 305964.0)	(28.0, 425333.0)	(29.0, 571920.0)	(30.0, 758321.0)	(31.0, 1025190.0)	(32.0, 1447943.0)	(33.0, 2228118.0)	(34.0, 3804091.0)	(35.0, 3558188.0)												
SRR7179527	(10.0, 3.0)	(11.0, 7.0)	(12.0, 54.0)	(13.0, 211.0)	(14.0, 353.0)	(15.0, 387.0)	(16.0, 521.0)	(17.0, 856.0)	(18.0, 1016.0)	(19.0, 1610.0)	(20.0, 3520.0)	(21.0, 8445.0)	(22.0, 19586.0)	(23.0, 41236.0)	(24.0, 77385.0)	(25.0, 132817.0)	(26.0, 211379.0)	(27.0, 308691.0)	(28.0, 427785.0)	(29.0, 576029.0)	(30.0, 766289.0)	(31.0, 1033411.0)	(32.0, 1469090.0)	(33.0, 2272434.0)	(34.0, 3869043.0)	(35.0, 3412823.0)										
SRR7179536	(2.0, 15388.0)	(3.0, 266.0)	(4.0, 1736.0)	(5.0, 1512.0)	(6.0, 1378.0)	(7.0, 908.0)	(8.0, 710.0)	(9.0, 640.0)	(10.0, 673.0)	(11.0, 759.0)	(12.0, 956.0)	(13.0, 1147.0)	(14.0, 1390.0)	(15.0, 1759.0)	(16.0, 2150.0)	(17.0, 2760.0)	(18.0, 3289.0)	(19.0, 4224.0)	(20.0, 5536.0)	(21.0, 7083.0)	(22.0, 9725.0)	(23.0, 14802.0)	(24.0, 23681.0)	(25.0, 38750.0)	(26.0, 60121.0)	(27.0, 87973.0)	(28.0, 122183.0)	(29.0, 162736.0)	(30.0, 211331.0)	(31.0, 274063.0)	(32.0, 351416.0)	(33.0, 464068.0)	(34.0, 648105.0)	(35.0, 1029210.0)	(36.0, 2541010.0)	(37.0, 20046872.0)
SRR7179537	(2.0, 71667.0)	(3.0, 833.0)	(4.0, 8070.0)	(5.0, 5600.0)	(6.0, 5628.0)	(7.0, 3577.0)	(8.0, 2483.0)	(9.0, 2183.0)	(10.0, 2341.0)	(11.0, 2707.0)	(12.0, 3022.0)	(13.0, 3813.0)	(14.0, 4585.0)	(15.0, 5989.0)	(16.0, 7089.0)	(17.0, 9068.0)	(18.0, 11070.0)	(19.0, 13729.0)	(20.0, 17384.0)	(21.0, 21912.0)	(22.0, 29808.0)	(23.0, 44256.0)	(24.0, 70746.0)	(25.0, 115267.0)	(26.0, 176961.0)	(27.0, 258793.0)	(28.0, 360602.0)	(29.0, 480131.0)	(30.0, 625715.0)	(31.0, 802402.0)	(32.0, 1034851.0)	(33.0, 1367666.0)	(34.0, 1899544.0)	(35.0, 2988291.0)	(36.0, 7263811.0)	(37.0, 58395602.0)
SRR7179540	(2.0, 44662.0)	(3.0, 1631.0)	(4.0, 6507.0)	(5.0, 5821.0)	(6.0, 5282.0)	(7.0, 4100.0)	(8.0, 3526.0)	(9.0, 3814.0)	(10.0, 4575.0)	(11.0, 6091.0)	(12.0, 8106.0)	(13.0, 9776.0)	(14.0, 11592.0)	(15.0, 14107.0)	(16.0, 16974.0)	(17.0, 20341.0)	(18.0, 24917.0)	(19.0, 30782.0)	(20.0, 39617.0)	(21.0, 53317.0)	(22.0, 77872.0)	(23.0, 128616.0)	(24.0, 223000.0)	(25.0, 377996.0)	(26.0, 595846.0)	(27.0, 878847.0)	(28.0, 1222679.0)	(29.0, 1628480.0)	(30.0, 2103388.0)	(31.0, 2669536.0)	(32.0, 3347897.0)	(33.0, 4238082.0)	(34.0, 5541146.0)	(35.0, 7857890.0)	(36.0, 14377672.0)	(37.0, 26502771.0)
SRR7179541	(2.0, 71311.0)	(3.0, 1903.0)	(4.0, 10044.0)	(5.0, 8589.0)	(6.0, 7624.0)	(7.0, 4929.0)	(8.0, 3650.0)	(9.0, 3199.0)	(10.0, 3505.0)	(11.0, 3799.0)	(12.0, 4279.0)	(13.0, 4892.0)	(14.0, 5590.0)	(15.0, 6283.0)	(16.0, 7220.0)	(17.0, 8654.0)	(18.0, 10643.0)	(19.0, 13505.0)	(20.0, 17188.0)	(21.0, 22461.0)	(22.0, 31316.0)	(23.0, 48657.0)	(24.0, 80668.0)	(25.0, 132059.0)	(26.0, 202315.0)	(27.0, 293827.0)	(28.0, 402288.0)	(29.0, 531446.0)	(30.0, 681848.0)	(31.0, 860741.0)	(32.0, 1082913.0)	(33.0, 1383588.0)	(34.0, 1829499.0)	(35.0, 2634814.0)	(36.0, 4875614.0)	(37.0, 8726879.0)
