"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",6219.3502201908,5.66951839837637,0.121890869236667,46.5130688941784,0,0
"ENSG00000159167",3693.20077381381,5.4999117353069,0.13512445632904,40.7025632866499,0,0
"ENSG00000104419",45304.9130154421,3.02454197386349,0.0965479092982413,31.3268510509174,2.01116321355989e-215,1.2786305324076e-211
"ENSG00000131016",2229.60030911474,3.77078543456926,0.123299205463179,30.5823984867066,2.09826985937166e-205,1.00050752569489e-201
"ENSG00000220575",476.86463752295,6.76263616219473,0.258866815444573,26.1239979739416,1.94648118045759e-150,7.42504711097354e-147
"ENSG00000258667",1003.74744324599,5.28446761317973,0.21528845431556,24.5459870571322,4.77352213434739e-133,1.5174231278068e-129
"ENSG00000115414",18678.3207198428,2.92351603733874,0.11986122503945,24.3908406273716,2.13917659229195e-131,5.82864502068348e-128
"ENSG00000146648",5337.09641040801,2.7078222089075,0.113844050162544,23.7853643211159,4.73384154477945e-125,1.12860699729473e-121
"ENSG00000114268",2443.44839033175,2.88838356365577,0.121960754301006,23.6828935685908,5.41140224597246e-124,1.14679638930481e-120
"ENSG00000150594",670.210985336642,4.64548921941291,0.196232809282997,23.6733563382534,6.78512929058784e-124,1.29412770959382e-120
"ENSG00000131389",1526.83234039312,4.07487449598329,0.174793592346729,23.3124935604057,3.31156455136326e-120,5.74195188074104e-117
"ENSG00000158406",3020.08644000909,3.14535497610931,0.139305876518938,22.5787673478492,7.00759591486075e-113,1.11379897403449e-109
"ENSG00000134333",59620.8349734117,1.95974022164216,0.088961964216623,22.0289675357233,1.51998396204812e-107,2.23005031601106e-104
"ENSG00000170525",2067.70727844345,2.85795347743903,0.130591924024252,21.8846111564164,3.64102376282539e-106,4.96037473059776e-103
"ENSG00000176171",9956.10673165705,2.09164477850835,0.0978149005131509,21.3837029689268,1.89481749061994e-101,2.40932359990627e-98
"ENSG00000140459",315.194694593787,5.99595147735937,0.28587390678159,20.9741124849857,1.13056336766044e-97,1.34770219446172e-94
"ENSG00000096088",508.021864420795,4.02223725964237,0.191880846229988,20.9621613551846,1.45335749339678e-97,1.63058161597393e-94
"ENSG00000157219",296.320313476235,6.17983526743726,0.299907556798181,20.6058004453549,2.43461181752534e-94,2.57974173309227e-91
"ENSG00000143847",534.402814023888,4.16044647078811,0.203593341110711,20.4350812658736,8.15568737661621e-93,8.18702238601058e-90
"ENSG00000137801",2846.36407893942,3.58690226251715,0.176873944858542,20.279427054029,1.95393910754543e-91,1.8633740299107e-88
"ENSG00000102144",13917.1333303368,2.23649418073834,0.112687764154274,19.8468236327459,1.1739108523417e-87,1.06619055651016e-84
"ENSG00000134107",4966.24771838229,2.50349001433888,0.129118578591525,19.3890766274529,9.54347634209268e-84,8.27376019421517e-81
"ENSG00000114023",8962.37753638546,1.85881822534467,0.096321551532983,19.2980511189977,5.5773367118734e-83,4.62506709154614e-80
"ENSG00000125629",1702.22350480309,2.83224043253637,0.152429139979114,18.5807020424339,4.6044225313748e-77,3.65917295587131e-74
"ENSG00000171345",4590.5412445955,2.28878271869703,0.123385171816215,18.5499009727541,8.17023754298704e-77,6.23323762629567e-74
"ENSG00000163516",2715.3135480772,1.89445239017058,0.102690847387607,18.4481133262048,5.39975692154139e-76,3.96113706786765e-73
"ENSG00000104765",10767.4089185831,2.1650309196714,0.117449554174761,18.4337091348164,7.04809188010161e-76,4.97882431219178e-73
"ENSG00000067057",4969.59129456361,2.12600919863735,0.115499214527954,18.4071312287825,1.15163479879116e-75,7.84468947047992e-73
"ENSG00000185633",1816.10718779682,4.15249113661569,0.226892675121768,18.3015654180425,8.0405064000363e-75,5.28815788165146e-72
"ENSG00000173221",1954.63562265684,2.23042138551526,0.122665890594395,18.1828980713989,7.05072749234321e-74,4.48261751538207e-71
"ENSG00000197930",17781.6010885054,2.28353896851244,0.127427766264258,17.9202620861835,8.194118339434e-72,5.04149738993628e-69
"ENSG00000172243",356.178234157472,4.06387561215316,0.231760973772455,17.5347710445121,7.77621804005326e-69,4.6348689586855e-66
"ENSG00000154734",8544.25312563224,1.92460897010099,0.110252682512404,17.4563459703981,3.08030692388122e-68,1.78032405936929e-65
"ENSG00000069667",743.959583113346,3.23267056272952,0.185686843158034,17.4092601702441,7.01850494367006e-68,3.93717484678291e-65
"ENSG00000131711",7242.43019127691,2.11327652523391,0.121646337085779,17.3722988777191,1.3375804292771e-67,7.28904900788633e-65
"ENSG00000172175",6286.31749456377,2.40728131825475,0.139226687113769,17.2903727594096,5.55916266935459e-67,2.94527526646112e-64
"ENSG00000134240",523.454806159436,-3.29811000017583,0.191204276033635,-17.2491435264536,1.13570420788348e-66,5.85440171809774e-64
"ENSG00000152256",2220.41557996215,2.05453379081511,0.122406050499079,16.7845770894355,3.16475739090474e-63,1.58845836096648e-60
"ENSG00000115548",3227.14377504619,1.9325727939327,0.115324983806355,16.7576246720115,4.98131521992885e-63,2.43611859460777e-60
"ENSG00000124107",1444.72831904412,2.36652732558498,0.141412587943727,16.7349127824937,7.2963928325885e-63,3.47910251239901e-60
"ENSG00000166292",228.803671967725,4.7884412264031,0.28720463080602,16.6725766675999,2.07455596182441e-62,9.65073313655538e-60
"ENSG00000206527",4449.54686767255,1.77870530044073,0.108311903747256,16.4220666325957,1.32959947329541e-60,6.03796446527699e-58
"ENSG00000124766",3629.00226191178,1.89774171944792,0.116919395526096,16.231196807927,3.03484000701726e-59,1.34612798729861e-56
"ENSG00000122884",10193.674591877,1.76788495894728,0.109649939190119,16.1229907832597,1.75886958528526e-58,7.62429990912402e-56
"ENSG00000168461",302.143642990896,4.03387435097164,0.251543441767986,16.0364918386238,7.10565206927973e-58,3.01169115371939e-55
"ENSG00000164096",5990.94457996458,1.77297811451671,0.111936389585883,15.839157588305,1.67043667288457e-56,6.92613883954943e-54
"ENSG00000198763",87051.6039375549,-1.86634153978414,0.117972475448514,-15.8201439165245,2.25975544822765e-56,9.17027992852044e-54
"ENSG00000164188",373.238844930433,3.43475454168182,0.218283529812164,15.7352895320938,8.66594348006199e-56,3.44344874990047e-53
"ENSG00000120885",3879.58680895391,1.81640068984807,0.117259064897899,15.4904927088551,4.02196317549503e-54,1.56552864584116e-51
"ENSG00000100906",3350.28059069369,2.21560767570048,0.143531996211232,15.436332902664,9.32537638298577e-54,3.55725807505375e-51
"ENSG00000149925",2077.94592423206,2.32528626882323,0.153818030828779,15.1171241517946,1.24878359587808e-51,4.67020578905541e-49
"ENSG00000129521",684.947614123264,2.592991427009,0.171650764699558,15.1062037594038,1.47389964238777e-51,5.40609382293499e-49
"ENSG00000067225",50792.8857610643,1.69264913652883,0.112082659671737,15.1017931006115,1.57588938729799e-51,5.67112043093106e-49
"ENSG00000164850",286.806430800195,3.61098524588291,0.240031421585717,15.043802274001,3.79133439682541e-51,1.33911335093798e-48
"ENSG00000157483",2387.29780105774,1.8432169024145,0.125013427754768,14.7441513725249,3.3551067211789e-49,1.16349000896446e-46
"ENSG00000197520",284.604891143789,3.84209603718256,0.261829040434275,14.6740637738655,9.45110311032952e-49,3.21894445755919e-46
"ENSG00000163171",1761.97752115151,2.10137395696067,0.143768324452015,14.6163903973301,2.20800239412714e-48,7.38828590582228e-46
"ENSG00000164442",3965.05526951602,1.68070203961662,0.115140966481398,14.596907521079,2.93876481744664e-48,9.66397609709652e-46
"ENSG00000159399",3231.68232459838,1.77981606395577,0.122148377203517,14.5709349948246,4.2996566761945e-48,1.38995511500098e-45
"ENSG00000169047",1648.66900679821,2.5193109299068,0.173033245640552,14.5596929687157,5.06849303538733e-48,1.61118946106571e-45
"ENSG00000198727",101708.809757174,-1.5574976599305,0.107050644584431,-14.5491665741639,5.91189121449282e-48,1.84848362514789e-45
"ENSG00000123384",1344.78718493877,2.00057689697413,0.138878884870205,14.4051912487909,4.79987359807333e-47,1.47658046993633e-44
"ENSG00000117394",2646.16161472924,2.10824181625282,0.146648681399391,14.3761389201387,7.30582302770361e-47,2.21180893027605e-44
"ENSG00000210082",8835800.21277725,-1.63364562395314,0.113706277962899,-14.3672421014976,8.30740450972133e-47,2.47573634709242e-44
"ENSG00000135111",6458.99297103482,1.49765368232589,0.104364135206206,14.3502715695079,1.06120873423652e-46,3.11391295201434e-44
"ENSG00000142192",17523.9137844756,1.30522889223832,0.0912565448693351,14.3028524048023,2.10021676983477e-46,6.06930825016038e-44
"ENSG00000112715",13005.3952959331,1.85056435665208,0.129480126028818,14.2922656426841,2.44522906440594e-46,6.9608737231962e-44
"ENSG00000135919",454.342258808996,3.0751831184443,0.217601873566641,14.1321536806645,2.40669759881203e-45,6.75043283855026e-43
"ENSG00000072682",3442.43943658546,1.52335490073838,0.109337014557903,13.9326549832914,4.01161205092077e-44,1.10889096590162e-41
"ENSG00000105220",7654.74921772208,1.44968601282391,0.104088389877858,13.9274516065149,4.31477968682471e-44,1.17565418524011e-41
"ENSG00000260788",131.140867080178,5.66527986144381,0.407045703440885,13.9180436338068,4.92192652257393e-44,1.3221958389444e-41
"ENSG00000177181",1424.20038007816,1.82241245526449,0.131026651638769,13.9087157648564,5.60772928888476e-44,1.48550306565138e-41
"ENSG00000123505",23418.396604951,1.65859496293056,0.119860412234868,13.837721162518,1.50915510449003e-43,3.94302949423812e-41
"ENSG00000125968",3186.13283440184,2.16191966145991,0.1563987700416,13.8231244458308,1.84868277737691e-43,4.76485494769051e-41
"ENSG00000127663",1591.9929363597,1.6878116109793,0.122419205116549,13.7871472811184,3.04567464493939e-43,7.7453536670572e-41
"ENSG00000137942",4786.49245688121,1.50781584489341,0.109383508767993,13.7846724965785,3.1519372562576e-43,7.91011832744752e-41
"ENSG00000072042",10813.0729010426,-1.26046040456435,0.0917740900888728,-13.7343819300604,6.31930366587626e-43,1.56529972492543e-40
"ENSG00000095739",785.441273986283,2.11282525999071,0.155135309411064,13.6192416027761,3.07746902771387e-42,7.5252008673829e-40
"ENSG00000115738",739.952024664479,2.53040983102901,0.185981462135154,13.6057099561361,3.70354451655579e-42,8.94148159041373e-40
"ENSG00000211459",3318705.65462764,-1.17203270113979,0.0863037422436864,-13.5803230621269,5.23948264287723e-42,1.24915815559497e-39
"ENSG00000047648",2378.75877359506,1.61415806238909,0.119367658899184,13.5225745170422,1.15076893742546e-41,2.70970567203899e-39
"ENSG00000092964",3976.24563064683,1.82484793917884,0.135278234395772,13.4895901571279,1.80098899762047e-41,4.18905648190429e-39
"ENSG00000041982",565.768307689864,3.64626137105725,0.271589208750428,13.4256489344093,4.27820205043189e-41,9.83110213348043e-39
"ENSG00000113083",614.873210618871,2.68044238135194,0.200448051279848,13.3722546277576,8.78374049515684e-41,1.99443193409674e-38
"ENSG00000181458",1876.76658718033,2.00565218218728,0.150483292323892,13.3280721813982,1.58952224856427e-40,3.56670092316074e-38
"ENSG00000154478",109.7288255423,6.29376584187201,0.473088155638654,13.3035794002825,2.20647075078523e-40,4.89349030578217e-38
"ENSG00000179348",2743.98380934849,1.45858380241827,0.110120436238768,13.2453507472101,4.80033932054958e-40,1.05237783748094e-37
"ENSG00000293570",500.52485537162,-2.44738486039629,0.184894415297346,-13.2366618886808,5.38913433083757e-40,1.16803362604619e-37
"ENSG00000166828",684.730942028509,3.19378675098639,0.241466507309599,13.2266242079339,6.15921883819977e-40,1.31994135843803e-37
"ENSG00000164056",1152.95022309299,1.84575979928713,0.140109677376238,13.1736781773517,1.24386905071601e-39,2.63603493381184e-37
"ENSG00000140443",1686.03577837118,1.55764962382738,0.118323174557531,13.164366402881,1.40713096883742e-39,2.94925373281715e-37
