"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",701.996227634574,0.497152241259924,0.166236612438717,0.000596657635785727,0.00534731407155279
"ENSG00000000419",1865.9896782694,0.337099571276245,0.23278990351688,0.0482982155819555,0.15387339483594
"ENSG00000000457",195.315929478448,0.367470850298589,0.198773396416903,0.0211723359281026,0.0844237558058249
"ENSG00000000460",351.472460600879,0.0483568805437738,0.141155944145411,0.695116560437358,0.834254693265154
"ENSG00000001036",531.763800441318,-0.136087660893708,0.180082987785542,0.333248849491523,0.548468133165241
"ENSG00000001084",792.64444155822,0.334525428485408,0.194840664460745,0.030453042778424,0.110750214923893
"ENSG00000001167",2587.34654272496,0.422242406633479,0.0904676217032206,1.03016291953177e-06,2.32862604832827e-05
"ENSG00000001460",297.680747266894,-0.268394763571386,0.158466432907123,0.0471149215094033,0.151279350250521
"ENSG00000001461",1011.32925047659,-0.157629260294309,0.104644744734341,0.107187203238369,0.265378661638235
"ENSG00000001497",1002.74477256927,-0.31588373450578,0.0806964061078464,3.83063538820289e-05,0.00054880596012394
"ENSG00000001561",1252.93268860984,0.283410718944306,0.0950219366942104,0.00159265226617029,0.0116508154271731
"ENSG00000001617",460.812429964933,0.057896839703576,0.179982567650336,0.676353567895073,0.821427794475396
"ENSG00000001626",4.48893212568288,-0.0485353273443271,0.285126049757766,0.568966423955257,NA
"ENSG00000001629",1389.41162842955,0.127215739428876,0.085412229788446,0.117393506467712,0.281866339617506
"ENSG00000001630",98.2926475639274,-0.0898320134167982,0.160611660797421,0.506316507606414,0.700714491887407
"ENSG00000001631",337.553589405437,0.0372987580753558,0.115608115163103,0.723886501393305,0.853017664863999
"ENSG00000002016",246.600222134248,-0.167400827812443,0.129749997531109,0.146672593562121,0.326812689408399
"ENSG00000002330",232.922961405853,0.0885452859650245,0.231694625057802,0.5462629378654,0.732334313537641
"ENSG00000002549",1323.95304445425,-0.456966697732422,0.155574518035182,0.000841622263192225,0.0070932464758909
"ENSG00000002586",4322.52707001373,0.390499009195848,0.0906977415255468,5.98818858831586e-06,0.000108287741013954
"ENSG00000002587",78.5598167880366,-0.258622295550677,0.358349509809286,0.0908288390254922,0.236851804883013
"ENSG00000002726",1.91028662169302,0.0251317934098434,0.289040202556738,0.705496639947615,NA
"ENSG00000002746",15.9469452022397,-0.0342405841559119,0.273343031241689,0.746022384025255,0.86573917040223
"ENSG00000002822",3.45188964917785,-0.037353677082821,0.285361689273854,0.636642068582688,NA
"ENSG00000002834",5005.80354794204,0.0980576154091185,0.0719839572599025,0.163720967108725,0.351417952612355
"ENSG00000002919",344.557657742206,-0.0876320604466375,0.135267704312211,0.464964047431628,0.667561998593992
"ENSG00000003056",2319.17167246703,0.0202105116097875,0.0900130895731854,0.810880828037492,0.906743388321711
"ENSG00000003096",191.987442144012,-0.326070931299301,0.231153861340372,0.0543294115866653,0.166641398669122
"ENSG00000003137",321.114351612437,0.5863867156506,0.221688657960533,0.00124994508582366,0.0096467689021231
"ENSG00000003147",753.745395786004,-0.0962639205411057,0.140980173456029,0.43632164893533,0.644066726595585
"ENSG00000003249",781.274648646476,0.235005914453448,0.129265749425888,0.0430250086986488,0.141703217899516
"ENSG00000003393",1000.43266005173,0.107852819387851,0.122385463344962,0.331361711475595,0.547043955064473
"ENSG00000003400",18.9326678699881,-0.177287273198407,0.297095118934622,0.231343015326473,0.436873879495198
"ENSG00000003402",1139.23382532482,0.128693477819783,0.0985938504267288,0.162664965744787,0.349926621879238
"ENSG00000003436",3228.55652346047,0.943933612804566,0.105282531498873,3.11819717835719e-20,5.42193191423066e-18
"ENSG00000003509",516.285299157923,-0.116140887231885,0.104239337025779,0.23204274292877,0.437585980917955
"ENSG00000003756",1358.32685926557,0.236440181015186,0.162808393637112,0.0849949905125321,0.226864319679923
"ENSG00000003987",23.6366658018084,0.012661165861763,0.279715142404626,0.882393438279042,0.945258917821538
"ENSG00000003989",305.095200018074,-0.112052914032859,0.239718115290025,0.434634197721407,0.64260160744508
"ENSG00000004059",1311.78159544801,-0.0248531481761013,0.124024552995624,0.824673281547621,0.914469547818231
"ENSG00000004139",204.017936995872,-0.133776595599579,0.267704167854494,0.344408034354749,0.560082897754838
"ENSG00000004142",2217.5001775576,-0.315901966616486,0.0870492401830622,0.00014245534263983,0.00165511792727853
"ENSG00000004399",153.235499283524,0.498509250368392,0.378274047758479,0.0198409370783649,0.080551591283627
"ENSG00000004455",4093.1813365042,0.144613019396386,0.10845658716738,0.148954640066448,0.330353559087737
"ENSG00000004468",2.54850082474701,-0.0765958134017561,0.298048069296624,0.305905965865515,NA
"ENSG00000004478",4778.75178985757,-0.165261741952944,0.0944873749291493,0.0639770992443963,0.186521941391229
"ENSG00000004487",2257.08679620846,0.226258905893348,0.117949030557577,0.0353142565870854,0.123102112479407
"ENSG00000004534",2033.60317647112,0.32893155263392,0.153232189477249,0.0131210691233794,0.0590042065088486
"ENSG00000004660",273.73340852176,-0.325018606396548,0.222647689847395,0.0507572974910182,0.159373287708568
"ENSG00000004700",1661.6384881358,0.355534583845228,0.156657662953201,0.00875611287481206,0.0434865401444086
"ENSG00000004766",802.782421407286,-0.172169581916151,0.14004447864332,0.161756150443788,0.348856898614272
"ENSG00000004776",19.926682093338,0.171430627518175,0.352614093270933,0.0662223415628332,0.191068971316732
"ENSG00000004777",287.621065798456,0.147045238976199,0.222881535702429,0.336084205397223,0.551706372516832
"ENSG00000004779",1261.73358234559,-0.0566024784159144,0.135525949741535,0.637790664169173,0.795632687594239
"ENSG00000004799",31.8122205626268,-0.143712768045976,0.283818974132779,0.311999061514781,0.526835068680006
"ENSG00000004809",3.77852320686606,-0.0758875014296315,0.288523522207341,0.441668227847059,NA
"ENSG00000004838",22.8514524981883,-0.0120677057047132,0.240911237865293,0.934386456556404,0.971937727384369
"ENSG00000004846",8.87128186784579,-0.280292351430335,0.448593753832368,0.0498649022576094,0.157401329950164
"ENSG00000004848",15.2196481251151,-0.173270519537893,0.29392531751421,0.247058492219339,0.454797767198893
"ENSG00000004864",1013.1588016834,-0.113595928457201,0.10512140022837,0.246195261357745,0.454083524623351
"ENSG00000004866",1740.00448734084,0.13245595367477,0.161420613920405,0.323496727386464,0.539488271329635
"ENSG00000004897",8339.23296960152,0.311691351288395,0.148383720294593,0.0138884245712363,0.0614631519419691
"ENSG00000004939",2.34636079021806,-0.0598289786374233,0.294699608860444,0.373832808619584,NA
"ENSG00000004961",760.9720592231,0.135101843594137,0.109264081795068,0.180407142558641,0.374281348991739
"ENSG00000004975",976.748525510011,0.252194199117251,0.145772074550066,0.0461880208932227,0.149235666503627
"ENSG00000005001",7.98523772651792,-0.0171454283942399,0.265586560450957,0.881642119670177,NA
"ENSG00000005007",1205.09639137767,0.260119489029066,0.101644965201771,0.00629241468032333,0.033919683162824
"ENSG00000005020",1311.98556787441,0.192785654007614,0.111950286222243,0.0616043768240482,0.182145999492694
"ENSG00000005022",3537.81106329297,0.0797048718441513,0.0922242147873473,0.361555512033451,0.576674663803099
"ENSG00000005059",303.423089346333,-0.0157536308276183,0.238925453656695,0.907798791360051,0.958195424480071
"ENSG00000005073",130.45494718397,0.285145737129192,0.254767187701158,0.100245943652223,0.25343649529773
"ENSG00000005075",369.318659874798,-0.293764789695081,0.1538440165802,0.0269523982545712,0.100942487130154
"ENSG00000005100",775.803232540007,-0.0102347868092041,0.147687549596439,0.936735501155682,0.972991141062939
"ENSG00000005102",2.76961061177573,-0.00832289681483329,0.289784673565894,0.896351783227142,NA
"ENSG00000005108",15.5581848418452,2.41111094390308,1.08631084942969,0.000323888243742667,0.00326197150034694
"ENSG00000005156",1181.57974480519,-0.247413182561739,0.153708946113016,0.0598820429845895,0.178405475782121
"ENSG00000005175",2923.68961178519,0.00483897807697615,0.113063965566739,0.960452346021164,0.983852436240721
"ENSG00000005187",410.35161489286,-0.601988627271991,0.209299315706904,0.000619514130613134,0.00552054116215225
"ENSG00000005189",287.804595076412,-0.00119712719440116,0.151825148279857,0.993305875100976,0.998037891285498
"ENSG00000005194",715.501346700893,-0.136237038039785,0.105673621827463,0.166721122959088,0.355122450578963
"ENSG00000005206",334.355613357363,-0.00976061271315848,0.187212630971796,0.937055244520587,0.973172712822465
"ENSG00000005238",603.565285838476,0.450028917087745,0.153880263722835,0.000927505919568091,0.00766105579687099
"ENSG00000005243",14.9435136381809,-0.197134092211321,0.341043254233127,0.139154387515685,0.315586156974233
"ENSG00000005249",389.274428902223,0.0945519026853656,0.173712784898414,0.50053907592088,0.695443173885744
"ENSG00000005302",1924.65267108838,0.499152355355649,0.112559036959351,2.19339376789314e-06,4.48917533340222e-05
"ENSG00000005339",1855.36150098863,0.555738350966752,0.0814953213064552,1.92250550756096e-12,1.38693092361065e-10
"ENSG00000005379",138.481653715934,-0.0136719918401439,0.189909428916634,0.925439591120525,0.966937162072779
"ENSG00000005421",2.5942935525283,-0.0239543284118983,0.289805411258587,0.66843972543618,NA
"ENSG00000005436",848.090531315478,-0.0211631869382732,0.100127975556494,0.823254288749477,0.913958267411698
"ENSG00000005448",492.674237060338,0.579806596336639,0.235992927848312,0.00190631377896194,0.0134566438303962
"ENSG00000005469",531.755920132961,-0.133287560668899,0.102501511980421,0.164052979791637,0.351805365571406
"ENSG00000005471",6.6785642883777,-0.104947347985511,0.297690760699993,0.303039262794975,NA
"ENSG00000005483",3801.86423347934,1.0037077141912,0.112535890008141,5.51204425068704e-20,9.26752299470885e-18
"ENSG00000005486",523.482741348127,0.41042309352408,0.179577586721808,0.00625823933114175,0.0337891775352303
"ENSG00000005513",91.1583602120321,-0.761121518081716,0.270251142907425,0.000513196764903763,0.00475215065325542
"ENSG00000005700",2041.43885871198,-0.0231123860521761,0.113039591829309,0.826205702764134,0.915237071442066
"ENSG00000005801",874.844402039109,-0.0600625393783485,0.104129782335808,0.537941034474516,0.725758898276717
"ENSG00000005810",2333.84960272365,0.0743545937934726,0.100552476777796,0.433163803312096,0.641424622414493
