"ensembl_gene_id","hgnc_symbol","gene_biotype","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000299291","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293705","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000259036","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000286616","","lncRNA",0,0,0.544901465354334,1.75844505536699,3.75312846318885,0,8.72951666093507,2.20723638438059
"ENSG00000299292","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000249112","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000303962","","lncRNA",0.557534067330796,0.49102288884271,0,0,0,0,0,0
"ENSG00000293720","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000258793","","lncRNA",0,0,0.544901465354334,0.439611263841748,1.25104282106295,3.45977592008974,20.3688722088485,2.20723638438059
"ENSG00000255389","","lncRNA",17.8410901545855,13.7486408875959,14.712339564567,13.1883379152524,23.769813600196,17.2988796004487,2.90983888697836,17.6578910750448
"ENSG00000299298","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000303968","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293725","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000250194","","processed_pseudogene",0,0,0.544901465354334,0,0,0,0,0
"ENSG00000217776","","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000258729","","lncRNA",0,0,0,0,0,0,2.90983888697836,3.31085457657089
"ENSG00000250739","LINC01262","lncRNA",0,0,0,0,0,0,0,2.20723638438059
"ENSG00000250721","HMGB1P22","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000252697","RN7SKP209","misc_RNA",0,0,0,0,0,0,0,0
"ENSG00000303974","FAM74A3","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000222107","RN7SKP117","misc_RNA",0,0,0,0,0,0,0,0
"ENSG00000250402","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000135346","CGA","protein_coding",0,0,0,0.879222527683496,0,0,0,0
"ENSG00000307927","","lncRNA",34.0095781071786,32.4075106636189,59.9391611889768,29.8935659412389,102.585511327162,117.632381283051,61.1066166265455,82.7713644142723
"ENSG00000253376","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000277619","","lncRNA",10.5931472792851,22.5870528867647,11.9878322377954,9.67144780451845,6.25521410531475,3.45977592008974,8.72951666093507,5.51809096095149
"ENSG00000303981","","lncRNA",0,6.87432044379794,0.544901465354334,0.879222527683496,0,0,0,1.1036181921903
"ENSG00000270021","","lncRNA",126.560233284091,76.5995706594628,126.417139962206,145.95093959546,10.0083425685036,24.2184314406282,11.6393555479134,16.5542728828545
"ENSG00000293726","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000303985","","lncRNA",0.557534067330796,0,0,0.879222527683496,0,0,0,0
"ENSG00000299340","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000303992","","lncRNA",7.80547694263115,33.3895564413043,22.3409600795277,30.3331772050806,3.75312846318885,3.45977592008974,5.81967777395671,2.20723638438059
"ENSG00000304690","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293731","","lncRNA",0,0,0,0,0,0,0,1.1036181921903
"ENSG00000249747","LINC02374","lncRNA",0.557534067330796,0,0,0,0,0,0,0
"ENSG00000293732","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304699","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000049860","HEXB","protein_coding",1780.20627698723,1763.26319383417,2673.83149049372,2610.85129595614,1471.22635757003,1204.00202019123,1181.39458811321,1137.8303561482
"ENSG00000287166","","lncRNA",40.1424528478173,7.85636622148336,11.9878322377954,7.91300274915146,8.75729974744064,10.3793277602692,17.4590333218701,9.93256372971267
"ENSG00000304907","","lncRNA",2.23013626932319,0,2.17960586141734,0.439611263841748,0,3.45977592008974,2.90983888697836,4.41447276876119
"ENSG00000293740","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304773","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000253896","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293989","","lncRNA",3.34520440398478,2.94613733305626,8.71842344566935,5.27533516610097,2.5020856421259,3.45977592008974,2.90983888697836,3.31085457657089
"ENSG00000299406","","lncRNA",0,0.98204577768542,0.544901465354334,0,3.75312846318885,3.45977592008974,0,3.31085457657089
"ENSG00000289400","","lncRNA",0,1.47306866652813,0,0,0,0,0,0
"ENSG00000229109","FRMD3-AS1","lncRNA",39.5849187804865,48.1202431065856,67.0228802385831,55.3910192440602,25.020856421259,13.839103680359,20.3688722088485,17.6578910750448
"ENSG00000299807","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304777","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000299791","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000250532","","lncRNA",0,0,0,0,2.5020856421259,0,0,0
"ENSG00000258413","FBXO34-AS1","lncRNA",1.11506813466159,2.94613733305626,1.634704396063,0.879222527683496,1.25104282106295,3.45977592008974,0,0
"ENSG00000253986","","lncRNA",0,1.96409155537084,4.35921172283467,2.19805631920874,0,0,0,2.20723638438059
"ENSG00000299438","","lncRNA",0,0,0,0,0,3.45977592008974,0,0
"ENSG00000304025","","lncRNA",0,0,0,0,0,0,0,1.1036181921903
"ENSG00000258469","CHMP4BP1","protein_coding",6.69040880796956,7.85636622148336,10.3531278417323,12.3091153875689,10.0083425685036,0,11.6393555479134,14.3470364984739
"ENSG00000299458","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000286451","","lncRNA",697.475118230826,769.923889705369,925.787589637014,779.430770791419,21.2677279580701,38.0575351209872,14.5491944348918,8.82894553752238
"ENSG00000293746","","lncRNA",0,0.98204577768542,0,0,2.5020856421259,0,0,0
"ENSG00000258455","","lncRNA",0,0,0,0,6.25521410531475,3.45977592008974,2.90983888697836,2.20723638438059
"ENSG00000287951","","lncRNA",0,0,0,0.879222527683496,0,0,0,0
"ENSG00000300954","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293748","","lncRNA",0,0,0,0,0,0,0,1.1036181921903
"ENSG00000196273","LINC00523","lncRNA",0,0.49102288884271,0,0,0,0,0,0
"ENSG00000223446","","lncRNA",2.23013626932319,15.7127324429667,13.077635168504,10.1110590683602,15.0125138527554,24.2184314406282,20.3688722088485,25.3832184203768
"ENSG00000293788","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000299476","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293799","","lncRNA",0,0,0.544901465354334,0,0,0,0,1.1036181921903
"ENSG00000287544","","lncRNA",0,0.49102288884271,2.72450732677167,3.07727884689223,2.5020856421259,0,0,0
"ENSG00000293819","","lncRNA",0,2.45511444421355,3.81431025748034,1.75844505536699,1.25104282106295,6.91955184017949,0,1.1036181921903
"ENSG00000304791","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293826","","lncRNA",0,0,0,0,0,0,0,2.20723638438059
"ENSG00000304794","","lncRNA",13.3808176159391,16.2037553318094,14.1674380992127,14.0675604429359,8.75729974744064,3.45977592008974,2.90983888697836,1.1036181921903
